Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ,TQQQ
Date,,,,,,
2010-02-11,0.20558196306228638,0.21627600491046906,0.21744799613952637,0.20278599858283997,0.20343799889087677,6912000
2010-02-12,0.20642314851284027,0.21716099977493286,0.21903599798679352,0.2091670036315918,0.21039099991321564,17203200
2010-02-16,0.21441923081874847,0.22557300329208374,0.22609399259090424,0.21877600252628326,0.22226600348949432,19238400
2010-02-17,0.21805797517299652,0.22940100729465485,0.22945299744606018,0.2251559942960739,0.22859400510787964,38361600
2010-02-18,0.2221919149160385,0.23375000059604645,0.23512999713420868,0.22778600454330444,0.22916699945926666,77721600
2010-02-19,0.2221919149160385,0.23375000059604645,0.2367970049381256,0.2303909957408905,0.2321610003709793,92966400
2010-02-22,0.22063207626342773,0.23210899531841278,0.2365099936723709,0.22947899997234344,0.2365099936723709,50995200
2010-02-23,0.21201811730861664,0.22304700314998627,0.23208299279212952,0.21997399628162384,0.2308329939842224,82252800
2010-02-24,0.21842963993549347,0.22979199886322021,0.23242199420928955,0.2257550060749054,0.22697900235652924,70617600
2010-02-25,0.21830511093139648,0.2296610027551651,0.23122400045394897,0.21799500286579132,0.22244800627231598,91238400
2010-02-26,0.22102844715118408,0.2325260043144226,0.2334900051355362,0.22671900689601898,0.22898399829864502,57600000
2010-03-01,0.23050928115844727,0.24250000715255737,0.24348999559879303,0.2354689985513687,0.2354689985513687,28454400
2010-03-02,0.23189517855644226,0.2439579963684082,0.24921900033950806,0.2433069944381714,0.24463500082492828,48422400
2010-03-03,0.23318319022655487,0.24531300365924835,0.2488279938697815,0.24294300377368927,0.24669300019741058,47961600
2010-03-04,0.2357572764158249,0.24802100658416748,0.24835899472236633,0.24234400689601898,0.2461719959974289,29452800
2010-03-05,0.24617819488048553,0.2589839994907379,0.26012998819351196,0.25195300579071045,0.2533070147037506,26880000
2010-03-08,0.24749097228050232,0.26036500930786133,0.2622399926185608,0.2592189908027649,0.2592189908027649,25344000
2010-03-09,0.2518720030784607,0.2649739980697632,0.2690359950065613,0.25872400403022766,0.2589319944381714,46425600
2010-03-10,0.2580353915691376,0.2714579999446869,0.2730729877948761,0.26515600085258484,0.2653389871120453,40089600
2010-03-11,0.26041173934936523,0.2739579975605011,0.27434900403022766,0.26802098751068115,0.2698180079460144,53913600
2010-03-12,0.2610059380531311,0.27458301186561584,0.276978999376297,0.2714320123195648,0.276978999376297,36134400
2010-03-15,0.259248286485672,0.27273398637771606,0.2746089994907379,0.26692700386047363,0.2727600038051605,42393600
