date,qdii_close,index_close,fx_close,theoretical_nav,premium,premium_pct
2023-03-23,1.0,3948.719970703125,6.879199981689453,0.9814488482435365,0.018901801952963426,1.8901801952963426
2023-03-30,1.0074000358581543,4050.830078125,6.885600090026856,1.007764882329812,-0.00036203531007572565,-0.036203531007572565
2023-03-31,1.0216000080108645,4109.31005859375,6.870399951934815,1.0200567396383198,0.0015129240488052087,0.15129240488052087
2023-04-03,1.0262999534606934,4124.509765625,6.868000030517578,1.0234721356576841,0.0027629651111038545,0.27629651111038545
2023-04-04,1.024999976158142,4100.60009765625,6.877299785614014,1.0189169157633182,0.005970124060867832,0.5970124060867832
2023-04-06,1.0130000114440918,4105.02001953125,6.878499984741211,1.020193186748976,-0.0070507972394978635,-0.7050797239497864
2023-04-07,1.0180000066757202,4105.02001953125,6.874899864196777,1.019659230441779,-0.001627233605623335,-0.1627233605623335
2023-04-10,1.0199999809265137,4109.10986328125,6.86929988861084,1.0198437252249972,0.00015321533844026014,0.015321533844026014
2023-04-11,1.0219999551773071,4108.93994140625,6.881100177764893,1.0215533978195699,0.0004371356002441651,0.04371356002441651
2023-04-12,1.0210000276565552,4091.949951171875,6.885499954223633,1.01797987352911,0.002966811236625899,0.2966811236625899
2023-04-13,1.0169999599456787,4146.22021484375,6.873700141906738,1.0297133563477043,-0.012346539280716717,-1.2346539280716717
2023-04-14,1.02400004863739,4137.64013671875,6.867800235748291,1.0267004894949152,-0.0026302128859934104,-0.26302128859934104
2023-04-17,1.0269999504089355,4151.31982421875,6.870399951934815,1.0304848514004856,-0.0033818071045041975,-0.33818071045041975
2023-04-18,1.0329999923706057,4154.8701171875,6.878799915313721,1.0326271230910524,0.000361088016395561,0.0361088016395561
2023-04-19,1.031000018119812,4154.52001953125,6.874899864196777,1.0319546959125252,-0.0009251159924893448,-0.09251159924893448
2023-04-20,1.0299999713897705,4129.7900390625,6.8850998878479,1.0273338934803522,0.0025951425591403954,0.25951425591403954
2023-04-21,1.0269999504089355,4133.52001953125,6.872099876403809,1.0263202710026118,0.0006622488374508073,0.06622488374508073
2023-04-24,1.024999976158142,4137.0400390625,6.892499923706055,1.03024352284329,-0.005089618686149766,-0.5089618686149766
2023-04-25,1.0299999713897705,4071.6298828125,6.894899845123291,1.014307539918977,0.015471078399010185,1.5471078399010185
2023-04-26,1.0230000019073486,4055.989990234375,6.931600093841553,1.0157896236660433,0.00709829877497925,0.709829877497925
2023-04-27,1.0160000324249268,4135.35009765625,6.92579984664917,1.0347980885921562,-0.018165916978841956,-1.8165916978841956
2023-04-28,1.0290000438690186,4169.47998046875,6.922299861907959,1.042811231132966,-0.01324418730026744,-1.324418730026744
2023-05-04,1.0199999809265137,4061.219970703125,6.910600185394287,1.0140180350613022,0.005899249972264986,0.5899249972264986
2023-05-05,1.0169999599456787,4136.25,6.905700206756592,1.0320194908970721,-0.014553534195694162,-1.4553534195694162
2023-05-08,1.031999945640564,4138.1201171875,6.9095001220703125,1.0330542300055734,-0.0010205508427216792,-0.10205508427216792
2023-05-09,1.0329999923706057,4119.169921875,6.911499977111816,1.02862107285534,0.00425707739304837,0.42570773930483696
2023-05-10,1.0299999713897705,4137.64013671875,6.919400215148926,1.0344144185973954,-0.00426758089239565,-0.42675808923956504
2023-05-11,1.0360000133514404,4130.6201171875,6.932199954986572,1.0345696544665042,0.0013825641209956885,0.13825641209956885
2023-05-12,1.0369999408721924,4124.080078125,6.947700023651123,1.0352411991126185,0.0016988714910897151,0.1698871491089715
2023-05-15,1.037999987602234,4136.27978515625,6.957300186157227,1.0397383154318571,-0.0016718897474707894,-0.16718897474707894
2023-05-16,1.037999987602234,4109.89990234375,6.951600074768066,1.0322607696323165,0.0055598528383111745,0.5559852838311174
