date,smh_drop,qqq_immediate,qqq_5d_cum,qqq_21d_cum,smh_5d_cum,drop_group
2001-07-17,-7.937898763288986,2.2432564378646935,-4.009174261982262,-3.7694366182923655,-0.9099192833188172,<-7%
2001-07-24,-4.423208722437666,-1.132752560320116,2.6926366230802246,-9.604929505884986,4.744437468754037,-5%~-3%
2001-08-06,-3.8530261876891903,-1.5747950160062918,-6.8416405464140295,-18.881163697186786,-8.797059637748218,-5%~-3%
2001-08-09,-5.484611485824187,0.41975921997958743,-3.414517844464837,-17.610930542606283,-2.36688952408084,-7%~-5%
2001-08-16,-4.9194435081841625,1.1764289706926334,-3.424567308529725,-28.831829075509308,-7.720084109821134,-5%~-3%
2001-08-30,-5.837839487436636,-3.70078864359934,-10.03807614761809,-17.007289030008167,-11.295124814961232,-7%~-5%
2001-09-17,-7.808569846961455,-8.504378039828309,-18.514786139692177,2.2395169096022562,-32.79874483321312,<-7%
2001-09-19,-7.0441966389988675,-1.7377492698105956,-2.42564745835685,7.435772544660868,-12.891714478194018,<-7%
2001-09-20,-6.12184629978918,-3.3366541351122825,-4.155922929140321,11.885379796892881,-4.731089203753714,-7%~-5%
2001-09-21,-10.731242080638982,-2.692442605648615,-1.481950106382024,15.882076450160287,-6.054039602867623,<-7%
2001-09-27,-7.4447966989030885,-0.6626813123539854,8.107731206100887,26.08573568533138,-13.090850478599291,<-7%
2001-10-02,-3.24762889653879,0.31323775905585105,10.62970472452769,16.299050285995342,9.015346701772641,-5%~-3%
2001-10-03,-3.1468517710698696,7.564220011380773,7.899662286016351,17.543701501131537,18.51297559831143,-5%~-3%
2001-10-10,-5.911765379064226,4.53517678602533,12.065861408741096,21.645152095600917,6.513480516832672,-7%~-5%
2001-10-18,-9.210526315789469,2.7118579824214173,8.74274314619392,20.28567616445759,-5.537663228280909,<-7%
2001-10-19,-3.4782630809839232,0.6600425181551239,10.044432959298177,17.29517465574226,4.233089302257209,-5%~-3%
2001-10-30,-6.578947368421051,-1.938926842051969,7.860874461368672,13.55338332565065,4.7140480889887755,-7%~-5%
2001-11-09,-3.475360968353791,-0.05293107782889939,4.549388864667947,8.947793563637266,4.1188223644683335,-5%~-3%
2001-11-12,-3.5758342545521793,0.7156047449690561,4.323676416202938,9.561647427304644,6.672520863201271,-5%~-3%
2001-11-21,-4.161712322833166,-0.5178648257428198,0.45874280607879303,1.145294358054505,2.3976447913554804,-5%~-3%
2001-12-10,-3.503931876263189,-1.749291691417787,-3.8387621421732137,-1.0361898077377196,-8.714055032421765,-5%~-3%
2001-12-14,-3.5794234038244443,0.8802534810930629,-2.3356162338522672,1.8309679544849962,-3.65040255908875,-5%~-3%
2001-12-19,-3.833438834912939,-1.8176898428982735,-3.7490651622764997,-6.194067052511631,-8.338793210661777,-5%~-3%
2001-12-21,-5.02325545909793,1.7788042733394738,3.9205446365140117,-0.4601552370291362,1.3541514082782373,-7%~-5%
2002-01-16,-3.3111148410373215,-3.867088928515028,-4.6267394253664,-8.523048004537236,-7.294034592260035,-5%~-3%
2002-01-18,-3.9772727272727293,-2.6734262503377626,-1.9585058748689659,-12.956516758216408,-3.9150610520170215,-5%~-3%
2002-01-30,-3.504825022289537,0.7635226813591744,-4.421089205327455,-11.220680342607437,-0.6560475934514698,-5%~-3%
2002-02-08,-3.4013606619062275,2.7848429446061918,4.754809408465366,9.73483684040507,3.7079086013701468,-5%~-3%
2002-02-22,-4.031115413212127,0.5077666121231728,0.9995999064245527,9.663196592946809,-0.7869725175357445,-5%~-3%
2002-02-28,-3.0023077597375103,-1.8023002590412451,9.152909146385003,5.2192999129087365,9.46854832535723,-5%~-3%
2002-03-12,-4.392922366989871,-1.3755230241721539,-2.822032313076228,-12.560601537904159,-3.7675939349789633,-5%~-3%
2002-03-26,-3.540767736501005,0.927998094451965,-1.1919736943077015,-8.566279174072287,0.6565948440214964,-5%~-3%
2002-04-08,-4.84324687236064,1.251066052103278,-2.388200357204018,-16.571061556047862,-5.346349719175281,-5%~-3%
2002-04-10,-3.0242802537708613,0.744290798460967,4.81608418906736,-4.5802318431701785,2.0160462713176064,-5%~-3%
2002-04-25,-4.298645911952114,-0.24611992711223163,-2.8206586398108247,-0.21046747196936488,-6.003515594380892,-5%~-3%
2002-04-29,-4.867868576337986,0.2577036398706767,-4.168675225478613,1.3777360438725483,-7.699316853566319,-5%~-3%
2002-05-03,-4.321735860296172,-2.523758598814141,2.070957177301026,-3.9211998876677128,-1.0780350499367213,-5%~-3%
2002-05-06,-4.39146817317061,-2.5890936899542694,0.10359739456769113,-0.0861473410303164,2.488530129835087,-5%~-3%
2002-05-13,-3.8046219634229383,4.059544827459027,11.046107974387212,-6.779219182972229,8.493204067274883,-5%~-3%
2002-05-22,-3.5903368144969416,0.22343678198688544,-3.3214205786566975,-16.306865444632933,-9.852692607593827,-5%~-3%
